"","O.S10","O.S40","O.S70","T.UB.S10","T.UB.S40","T.UB.S70","T.B.S10","T.B.S40","T.B.S70","C.S10","C.S40","C.S70","D.S10","D.S40","D.S70"
"Pg0",0.0134385,0.0134366,0.0133638,0.013266,0.0134044,0.0132932,0.0134064,0.0133091,0.0133635,0.0133174,0.0132291,0.0132589,0,0,0
"Pg1",0.1040412,0.1041342,0.1054196,0.1366787,0.1369337,0.1369473,0.2696541,0.2694293,0.2707775,0.1768022,0.1759813,0.1767079,0.3847116,0.1237807,0.0323019
"Pg2",0.1157133,0.1167494,0.1169586,0.2409285,0.2417068,0.2410439,0.2409026,0.2412447,0.2412128,0.119517,0.1192627,0.1192656,0,0,0
"PgB",0,0,0,0.0405491,0.0403083,0.0406043,0.0404703,0.0404567,0.0407475,0.0261035,0.0267113,0.0261411,0,0,0
"Pd1",0.8825203,0.8824292,0.8812166,0.8500553,0.8496619,0.8497595,0.7169395,0.7172616,0.715859,0.8098804,0.8107896,0.8100332,0.6152884,0.8762193,0.9676981
"Pd2",0.8842867,0.8832506,0.8830414,0.7590715,0.7582932,0.7589561,0.7590974,0.7587553,0.7587872,0.880483,0.8807373,0.8807344,1,1,1
"PdB",0.68,0.68,0.68,0.1958854,0.1958854,0.1958854,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68
"Pws0",0.7668823,0.7660031,0.7649888,0.8817014,0.2450545,0.022838,0.8683788,0.4477084,0.1169373,0.7674734,0.7665747,0.7669531,0.7656789,0.7664004,0.7666461
"Pss1",0.4409778,0.4405039,0.4409527,0.7619375,0.6855947,0.5943231,0.7139606,0.7131203,0.7136429,0.7073358,0.7060946,0.7072796,0.4365519,0.4287355,0.429765
"Pws1",0.7668823,0.7660031,0.7649888,0.8817014,0.2450545,0.022838,0.8683788,0.4477084,0.1169373,0.7674734,0.7665747,0.7669531,0.7656789,0.7664004,0.7666461
"Pss2",0.7952857,0.7970982,0.7926907,0.7941183,0.7942678,0.7937969,0.7957457,0.7952977,0.7940029,0.7938216,0.7944346,0.7954453,0.7955159,0.7970808,0.7952909
"Pws2",0.8252321,0.8262602,0.8282628,0.8273332,0.826735,0.8284462,0.8279093,0.8278266,0.8274762,0.8259264,0.8270965,0.8259322,0.8288093,0.8256026,0.8277479
"Py1s0",0.0503912,0.0504077,0.0510065,0.1130563,0.0961141,0.0816274,0.2008124,0.1964331,0.194328,0.1322607,0.1313739,0.1322264,0.1682748,0.0537495,0.0137019
"Py1s1",0.0509843,0.0514917,0.0515347,0.1835623,0.1657546,0.1432392,0.1719999,0.1720337,0.1721556,0.0845391,0.0842021,0.0842791,0,0,0
"Py1sB",0,0,0,0.0309156,0.027648,0.0241247,0.0288911,0.0288453,0.0290751,0.018441,0.0188371,0.0185086,0,0,0
"Py2",0.609872,0.6105565,0.6064192,0.7001858,0.194645,0.0181301,0.6909838,0.3561623,0.0929099,0.6092632,0.6089742,0.6101005,0.6091,0.6108995,0.6096909
"Pspa",0.1503036,0.1504009,0.1517767,0.6041939,0.6043342,0.6043127,0.6064287,0.6067941,0.6044822,0.6556479,0.6570439,0.6569989,0.6593243,0.6580586,0.6582571
"Psa",0.5060314,0.5081767,0.504729,0.0528157,0.0523244,0.0533479,0.0524007,0.051577,0.052531,0,0,0,0,0,0
"Pm3",0.7708155,0.7721648,0.768921,0.0803193,0.07961,0.0810964,0.0795665,0.0784505,0.0799275,0,0,0,0,0,0
"Ppa",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"Pmpa",0.7708155,0.7721648,0.768921,0.0803193,0.07961,0.0810964,0.0795665,0.0784505,0.0799275,0.0803193,0.07961,0.0810964,0.0795665,0.0784505,0.0799275
"Pa",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
"S1",161.9733547,161.8355232,162.0241081,63.332751,63.336261,63.4270588,63.1602834,63.1559869,63.1459079,63.332751,63.336261,63.4270588,63.1602834,63.1559869,63.1459079
